line,order_of_points,station,latitude,longitude,mark
S18,1,Stadelhofen,47.366762,8.548396,5
S18,2,Kreuzplatz,47.365015,8.554162,5
S18,3,Hegibachplatz,47.361946,8.560967,5
S18,4,Balgrist,47.354703,8.574896,5
S18,5,Rehalp,47.350946,8.583137,1
S18,6,Waldburg,47.345652,8.592808,1
S18,7,Spital Zollikerberg,47.347453,8.597234,1
S18,8,Zollikerberg,47.346241,8.602122,1
S18,9,Waltikon,47.337149,8.61675,1
S18,10,Zumikon,47.332365,8.623903,1
S18,11,Maiacher,47.328208,8.631762,1
S18,12,Neue Forch,47.325938,8.637759,1
S18,13,Forch,47.32549,8.64778,1
89,1,Heizenholz,47.412442,8.483765,1
89,2,Geeringstrasse,47.414374,8.480896,1
89,3,Riedhofstrasse,47.410488,8.479778,1
89,4,Frankental,47.405589,8.481789,1
89,5,Winzerstrasse Süd,47.403528,8.486527,1
89,6,Hohenklingensteig,47.401511,8.490408,1
89,7,Winzerhalde,47.400113,8.494671,1
89,8,Tüffenwies,47.398283,8.494646,1
89,9,Bahnhof Altstetten,47.391367,8.488196,5
89,10, Bristenstrasse,47.390433,8.487268,1
89,11, Baslerstrasse,47.388794,8.49056,5
89,12,Letzipark West,47.386896,8.49591,1
89,13,Kappeli,47.385354,8.495022,1
89,14,Flurstrasse,47.38178,8.492031,1
89,15,Albisrank,47.380016,8.494717,1
89,16,Hubertus,47.37706,8.49945,1
89,17, Im Gut,47.373756,8.503244,1
89,18,Schaufelbergerstrasse,47.369163,8.501797,1
89,19, Schweighof,47.364949,8.503047,1
89,20,Friesenbergstrasse,47.362225,8.505085,1
89,21,Im Hagacker,47.359629,8.507387,1
89,22,Hegianwandweg,47.356925,8.509903,1
89,23,Strassenverkehrsamt,47.353404,8.511758,1
89,24,Uetlihof,47.356885,8.513986,1
89,25,Laubegg,47.358877,8.517078,1
89,26,Saalsporthalle,47.358135,8.521725,1
89,27,Sihlcity,47.358126,8.522206,1
303,1,Gjuchstrasse,47.409374,8.394198,1
303,2,Oetwilerstrasse,47.408176,8.396676,5
303,3,Dietikon Bahnhof,47.406135,8.404808,5
80,1,Bahnhof Oerlikon Nord,47.412403,8.543833,1
80,2,Max-Bill-Platz,47.414248,8.541184,1
80,3,Birchstrasse,47.413273,8.535971,1
80,4,Chaletweg,47.413492,8.53154,1
80,5,Mötteliweg,47.414051,8.526637,1
80,6,Glaubtenstrasse Nord,47.414918,8.520434,1
80,7,Schumacherweg,47.412291,8.514188,1
80,8,Lerchenhalde,47.411782,8.510181,5
80,9,Eth Hönggerberg,47.408718,8.50827,1
80,10,Hönggerberg,47.405206,8.505524,1
80,11,Meierhofplatz,47.401911,8.499945,1
80,12, Zwielplatz,47.402337,8.496644,1
80,13, Wartau,47.402834,8.492033,1
80,14,Winzerstrasse,47.403834,8.486695,1
80,15, Winzerstrasse Süd,47.403528,8.486258,1
80,16,Hohenklingensteig,47.401511,8.490548,1
80,17,Winzerhalde,47.400185,8.495121,1
80,18,Tüffenwies,47.398305,8.495118,1
80,19,Bahnhof Altstetten,47.39128,8.48811,1
80,20, Bristenstrasse,47.39039,8.487644,5
80,21,Lindenplatz,47.38794,8.48619,1
80,22,Rautistrasse,47.384227,8.484512,1
80,23,Untermoosstrasse,47.380316,8.483764,1
80,24, Albisriederdörfli,47.375539,8.485302,1
80,25,Albisrieden,47.374687,8.485318,1
80,26, Goldackerweg,47.372107,8.48827,1
80,27,In Der Ey,47.369763,8.492334,1
80,28,Triemli,47.368268,8.495621,1
6,1, Zoo,47.381617,8.57132,1
6,2, Susenbergstrasse,47.378666,8.568038,1
6,3, Zürichbergstrasse,47.379031,8.564252,1
6,4,Toblerplatz,47.379483,8.559912,1
6,5,Kirche Fluntern,47.376537,8.559463,1
6,6,Voltastrasse,47.377103,8.554417,1
6,7,Platte,47.375091,8.552788,1
6,8,ETH/Universitätsspital,47.377762,8.548667,1
6,9,Langmauerstrasse,47.393608,8.545278,1
6,10,Haldenegg,47.380305,8.544139,5
6,11,Central,47.376991,8.543891,1
6,12,Bahnhofquai/HB,47.377741,8.541967,1
6,13,Sihlquai/HB,47.380072,8.537743,1
6,14,Museum für Gestaltung,47.38232,8.534992,1
6,15,Limmatplatz,47.38473,8.531913,1
6,16,Quellenstrasse,47.386799,8.529066,1
6,17,Löwenbräu,47.389035,8.525157,1
6,18,Escher-Wyss-Platz,47.390157,8.523478,1
6,19,Förrlibuckstrasse,47.392474,8.517345,1
6,20,Fischerweg,47.393895,8.512504,1
6,21,Bernoulli-Häuser,47.393992,8.5087,1
6,22,Hardturm,47.394316,8.504658,1
6,23,Hardhof,47.396686,8.497521,1
6,24,Tüffenwies,47.398363,8.49515,1
6,25,Grünaustrasse,47.39539,8.489772,1
6,26,Bändliweg,47.396415,8.485366,1
6,27,Werdhölzli,47.397972,8.481969,1
83,1,Hardplatz,47.382488,8.514539,5
83,2,Bahnhof Hardbrücke,47.385453,8.516921,5
83,3,Schiffbau,47.388403,8.520163,1
83,4,Escher-Wyss-Platz,47.390278,8.523427,1
83,5,Rosengartenstrasse,47.394742,8.525655,1
83,6,Bucheggplatz,47.398453,8.533347,1
83,7,Milchbuck,47.397673,8.54157,1
